epoch,beta,lr,train_loss,val_loss,val_gpr,sec,peak_gib
0,0.1000,1.00e-05,0.804247,1.494995,82.5409,1919.3,49.70
1,0.1000,1.00e-05,1.352159,1.765399,90.5406,1902.8,49.70
2,0.1000,1.00e-05,1.435548,1.751818,91.3591,1902.7,49.70
3,0.1000,1.00e-05,1.433966,1.753249,92.6191,1899.9,49.70
4,0.1000,1.00e-05,1.427510,1.809650,92.8089,1902.8,49.70
5,0.1000,1.00e-05,1.430256,1.842795,93.2301,1899.4,49.70
6,0.1000,1.00e-05,1.426998,1.782287,92.9169,1900.3,49.70
7,0.1000,1.00e-05,1.423715,1.789918,93.9621,1902.5,49.70
8,0.1000,1.00e-05,1.423256,1.810685,94.1115,1899.6,49.70
9,0.1000,1.00e-05,1.418812,1.814124,93.9099,1899.4,49.70
10,0.1000,1.00e-05,1.419140,1.839898,94.0921,1902.5,49.70
11,0.1000,1.00e-05,1.415280,1.826236,94.5918,1899.5,49.70
12,0.1000,1.00e-05,1.422194,1.808521,93.8538,1899.3,49.70
13,0.1000,1.00e-05,1.412089,1.826895,94.8107,1902.6,49.70
14,0.1000,1.00e-05,1.412340,1.865022,94.2771,1899.4,49.70
15,0.3375,1.00e-05,1.379843,1.829277,94.7427,1899.5,49.70
16,0.3375,1.00e-05,1.382618,1.822223,94.3853,1902.4,49.70
17,0.3375,1.00e-05,1.377663,1.843680,94.7721,1900.2,49.70
18,0.3375,1.00e-05,1.376109,1.826766,94.8254,1899.5,49.70
19,0.3375,1.00e-05,1.379428,1.839346,94.2795,1902.6,49.70
20,0.5750,1.00e-05,1.345094,1.835866,94.6595,1899.7,49.70
21,0.5750,1.00e-05,1.339155,1.853087,93.9339,1899.4,49.70
22,0.5750,1.00e-05,1.344343,1.816904,94.8224,1902.4,49.70
23,0.5750,1.00e-05,1.338348,1.836644,94.8848,1899.2,49.70
24,0.5750,1.00e-05,1.334675,1.840865,95.0246,1899.6,49.70
25,0.8125,1.00e-05,1.304880,1.860775,94.0750,1902.3,49.70
26,0.8125,1.00e-05,1.303688,1.832649,94.3595,1899.8,49.70
27,0.8125,1.00e-05,1.303973,1.834263,94.1638,1899.3,49.70
28,0.8125,1.00e-05,1.301511,1.837998,94.5342,1902.8,49.70
29,0.8125,1.00e-05,1.300905,1.896920,93.8010,1899.6,49.70
30,1.0500,1.00e-05,1.262624,1.853990,94.4028,1899.5,49.70
31,1.0500,1.00e-05,1.268672,1.810965,94.9403,1902.9,49.70
32,1.0500,1.00e-05,1.263937,1.858569,94.7397,1899.4,49.70
33,1.0500,1.00e-05,1.265310,1.826243,94.3152,1899.5,49.70
34,1.0500,1.00e-05,1.257349,1.897338,94.7173,1902.7,49.70
35,1.2875,7.00e-06,1.228474,1.855215,94.7501,1899.3,49.70
36,1.2875,7.00e-06,1.218729,1.873278,94.9246,1899.3,49.70
37,1.2875,7.00e-06,1.223151,1.830164,95.2095,1902.9,49.70
38,1.2875,7.00e-06,1.220984,1.838517,94.8457,1899.7,49.70
39,1.2875,7.00e-06,1.224882,1.798486,95.1925,1899.5,49.70
40,1.5250,7.00e-06,1.190673,1.847873,94.9024,1902.8,49.70
41,1.5250,7.00e-06,1.188928,1.823703,95.3107,1899.7,49.70
42,1.5250,7.00e-06,1.184606,1.873435,95.1680,1899.3,49.70
