epoch,beta,lr,train_loss,val_loss,val_gpr,sec,peak_gib
0,0.1000,1.00e-05,0.764377,1.417559,85.4506,1938.4,49.69
1,0.1000,1.00e-05,1.403684,1.776545,91.6538,1900.1,49.69
2,0.1000,1.00e-05,1.436003,1.740724,91.8724,1904.3,49.69
3,0.1000,1.00e-05,1.435880,1.761308,92.8209,1901.2,49.69
4,0.1000,1.00e-05,1.426402,1.828140,92.8345,1900.5,49.69
5,0.1000,1.00e-05,1.427772,1.799084,93.3717,1904.9,49.69
6,0.1000,1.00e-05,1.432929,1.809146,93.5010,1900.3,49.69
7,0.1000,1.00e-05,1.419999,1.816998,93.9677,1900.3,49.69
8,0.1000,1.00e-05,1.420137,1.853164,93.9453,1904.3,49.69
9,0.1000,1.00e-05,1.416760,1.840173,93.9554,1900.4,49.69
10,0.1000,1.00e-05,1.416007,1.866218,94.0164,1900.4,49.69
11,0.1000,1.00e-05,1.415047,1.866007,94.5445,1904.0,49.69
12,0.1000,1.00e-05,1.415965,1.865002,93.8003,1900.3,49.69
13,0.1000,1.00e-05,1.408053,1.860365,94.7288,1900.2,49.69
14,0.1000,1.00e-05,1.409561,1.909082,94.0792,1903.6,49.69
15,0.3375,1.00e-05,1.372920,1.893522,94.2362,1900.7,49.69
16,0.3375,1.00e-05,1.378455,1.823688,94.6485,1900.7,49.69
17,0.3375,1.00e-05,1.376939,1.844108,94.9093,1904.6,49.69
18,0.3375,1.00e-05,1.372412,1.848810,94.8489,1900.3,49.69
19,0.3375,1.00e-05,1.378475,1.881528,94.5083,1900.0,49.69
20,0.5750,1.00e-05,1.338768,1.858430,94.7006,1903.9,49.69
21,0.5750,1.00e-05,1.334107,1.899671,93.6054,1900.1,49.69
22,0.5750,1.00e-05,1.338014,1.868108,94.9045,1900.1,49.69
23,0.5750,1.00e-05,1.334114,1.847754,95.1299,1903.7,49.69
24,0.5750,1.00e-05,1.333893,1.845211,95.1556,1900.2,49.69
25,0.8125,1.00e-05,1.302597,1.850872,94.8242,1900.3,49.69
26,0.8125,1.00e-05,1.302417,1.827936,94.7612,1903.8,49.69
27,0.8125,1.00e-05,1.300897,1.817723,95.0367,1900.2,49.69
28,0.8125,1.00e-05,1.297942,1.878425,94.5045,1900.2,49.69
29,0.8125,1.00e-05,1.298860,1.856283,94.8708,1903.8,49.69
30,1.0500,1.00e-05,1.262058,1.874363,93.9587,1900.0,49.69
31,1.0500,1.00e-05,1.262236,1.815213,95.2797,1900.2,49.69
32,1.0500,1.00e-05,1.261334,1.904234,93.6538,1904.4,49.69
33,1.0500,1.00e-05,1.261321,1.826246,95.2004,1900.4,49.69
34,1.0500,1.00e-05,1.253891,1.874182,95.3624,1900.3,49.69
35,1.2875,1.00e-05,1.230337,1.820371,95.1629,1904.0,49.69
36,1.2875,1.00e-05,1.223871,1.845186,95.4276,1900.8,49.69
37,1.2875,1.00e-05,1.226979,1.806585,95.3928,1900.2,49.69
38,1.2875,1.00e-05,1.226617,1.804957,95.4425,1904.3,49.69
39,1.2875,1.00e-05,1.231608,1.810869,95.0359,1900.1,49.69
40,1.5250,1.00e-05,1.193139,1.815290,95.5782,1900.5,49.69
41,1.5250,1.00e-05,1.195694,1.814628,95.3777,1903.8,49.69
42,1.5250,1.00e-05,1.188925,1.855460,95.0808,1900.6,49.69
