sample,ref_max_2pct,ref_max_1pct,ref_p99.9_2pct,ref_p99.9_1pct,base_max_2pct,base_max_1pct,base_p99.9_2pct,base_p99.9_1pct
150,99.6396,98.1982,99.6396,98.1982,84.1441,47.9279,96.2162,87.3874
151,100.0,98.6458,99.7917,97.3958,86.4583,67.0833,91.3542,79.4792
152,100.0,100.0,99.8654,99.3271,80.2153,52.7591,95.8277,84.253
153,99.1247,83.3698,99.5624,99.1247,92.6696,79.4311,95.733,85.1204
154,99.8962,99.3769,99.5846,97.9232,88.9927,74.974,88.785,74.7664
155,99.8397,98.6378,99.6795,98.0769,81.1699,54.5673,94.9519,83.0128
156,99.8229,98.0514,99.2028,95.9256,99.4686,86.271,94.1541,79.008
157,99.8077,98.4615,99.4231,97.6923,71.9231,36.7308,93.8462,77.8846
158,99.8102,99.0512,99.241,97.9127,98.8615,90.8918,95.8254,84.8197
159,97.8814,96.6102,96.3983,92.5847,95.339,89.5127,94.3856,88.2415
160,100.0,99.0099,99.3399,97.3597,83.6634,58.2508,94.5545,82.3432
161,100.0,99.9185,99.9185,99.348,80.8476,47.1068,96.8215,86.4711
162,100.0,100.0,100.0,99.7053,93.6149,79.9607,94.0079,81.5324
163,100.0,99.2453,100.0,97.7358,95.6604,85.0943,95.6604,83.9623
164,99.7653,99.2958,99.5305,98.3568,98.8263,89.2019,92.2535,78.8732
165,100.0,100.0,99.5037,99.0074,97.5186,87.0968,94.5409,83.1266
166,100.0,99.7951,99.5902,99.1803,70.082,30.5328,96.5164,85.4508
167,100.0,99.8106,99.8106,99.4318,99.4318,90.5303,98.8636,89.2045
168,100.0,99.4042,100.0,99.8014,96.3257,86.4945,95.7299,85.3029
169,99.5723,98.5458,99.1446,97.6048,99.2301,87.4251,93.2421,79.7263
170,97.2061,84.5169,99.1851,96.9732,60.5355,20.1397,95.227,86.7288
171,99.5434,98.7443,99.6575,98.9726,85.9589,58.6758,95.5479,82.9909
172,100.0,98.7903,99.7984,97.5806,98.9919,90.7258,98.3871,86.4919
173,100.0,99.2274,99.8896,98.6755,85.5408,61.1479,95.3642,83.8852
174,99.7361,96.0422,99.4723,95.5145,49.0765,12.7968,95.7784,84.4327
175,100.0,99.4932,100.0,99.4932,95.6081,88.0068,89.8649,77.1959
