epoch,beta,lr,train_loss,val_loss,val_gpr,sec,peak_gib
0,0.1000,1.00e-05,1.342485,1.720550,1.4322,1920.3,49.70
1,0.1000,1.00e-05,1.617903,1.647207,6.6054,1901.3,49.70
2,0.1000,1.00e-05,1.571983,1.604210,6.7243,1904.9,49.70
3,0.1000,1.00e-05,1.545941,1.549952,13.8146,1901.9,49.70
4,0.1000,1.00e-05,1.524295,1.561095,19.6011,1901.2,49.70
5,0.1000,1.00e-05,1.513450,1.542768,27.8612,1905.5,49.70
6,0.1000,1.00e-05,1.503345,1.519212,45.9580,1901.4,49.70
7,0.1000,1.00e-05,1.493383,1.544108,46.5193,1901.2,49.70
8,0.1000,1.00e-05,1.487210,1.536760,70.7174,1904.5,49.70
9,0.1000,1.00e-05,1.481899,1.536300,73.2400,1901.1,49.70
10,0.1000,1.00e-05,1.475372,1.561545,72.6633,1901.0,49.70
11,0.1000,1.00e-05,1.474865,1.537657,85.4208,1904.5,49.70
12,0.1000,1.00e-05,1.471011,1.543914,87.3291,1901.2,49.70
13,0.1000,1.00e-05,1.462174,1.581887,93.8474,1901.2,49.70
14,0.1000,1.00e-05,1.457534,1.583478,91.1986,1904.2,49.70
15,0.3375,1.00e-05,1.420427,1.626728,93.1515,1900.7,49.70
16,0.3375,1.00e-05,1.407018,1.622462,94.0589,1900.9,49.70
17,0.3375,1.00e-05,1.387552,1.754324,94.4688,1905.1,49.70
18,0.3375,1.00e-05,1.380896,1.822491,94.4962,1901.1,49.70
19,0.3375,1.00e-05,1.384006,1.839711,94.1102,1900.8,49.70
20,0.5750,1.00e-05,1.357401,1.797638,94.2971,1904.2,49.70
21,0.5750,1.00e-05,1.353079,1.835912,93.9077,1901.2,49.70
22,0.5750,1.00e-05,1.352166,1.825023,94.6845,1901.2,49.70
23,0.5750,1.00e-05,1.346954,1.824045,95.0732,1904.2,49.70
24,0.5750,1.00e-05,1.347191,1.842843,95.0502,1900.6,49.70
25,0.8125,1.00e-05,1.316366,1.824855,94.8361,1900.8,49.70
26,0.8125,1.00e-05,1.313200,1.807623,95.1500,1904.3,49.70
27,0.8125,1.00e-05,1.313396,1.834391,94.2904,1900.9,49.70
28,0.8125,1.00e-05,1.307055,1.858095,94.5960,1901.0,49.70
29,0.8125,1.00e-05,1.309569,1.844257,94.6310,1904.4,49.70
30,1.0500,1.00e-05,1.276921,1.833763,94.5560,1901.4,49.70
31,1.0500,1.00e-05,1.276427,1.811623,95.3547,1901.0,49.70
32,1.0500,1.00e-05,1.272297,1.852366,95.1438,1904.3,49.70
33,1.0500,1.00e-05,1.271553,1.827439,94.9538,1900.8,49.70
34,1.0500,1.00e-05,1.264918,1.903484,95.3215,1901.1,49.70
35,1.2875,1.00e-05,1.236361,1.839441,95.2781,1904.1,49.70
36,1.2875,1.00e-05,1.235367,1.840442,95.4934,1900.9,49.70
37,1.2875,1.00e-05,1.237496,1.825346,95.4569,1901.0,49.70
38,1.2875,1.00e-05,1.235913,1.850775,95.1297,1904.4,49.70
39,1.2875,1.00e-05,1.237967,1.796074,95.4723,1901.2,49.70
40,1.5250,1.00e-05,1.205366,1.826715,95.4572,1901.3,49.70
41,1.5250,1.00e-05,1.204668,1.802023,95.5617,1904.3,49.70
42,1.5250,1.00e-05,1.198106,1.884616,95.0734,1900.9,49.70
