epoch,beta,lr,train_loss,val_loss,val_gpr,sec,peak_gib
72,3.0800,3.43e-06,1.016544,1.849172,95.3125,1919.9,49.69
73,3.3800,3.43e-06,0.997613,1.816192,95.5631,1905.9,49.69
74,3.3800,3.43e-06,0.997303,1.798362,95.7595,1914.4,49.69
75,3.3800,3.43e-06,0.990247,1.857523,95.8788,1900.1,49.69
76,3.3800,3.43e-06,0.993682,1.816831,95.8324,1916.4,49.69
77,3.3800,3.43e-06,0.992869,1.839401,95.6140,1908.5,49.69
78,3.6800,3.43e-06,0.980020,1.807519,95.6695,1907.1,49.69
79,3.6800,3.43e-06,0.975552,1.841234,95.6990,1932.7,49.69
80,3.6800,3.43e-06,0.980038,1.800538,95.8422,1906.1,49.69
81,3.6800,3.43e-06,0.975133,1.843604,95.6778,1906.0,49.69
82,3.6800,3.43e-06,0.976066,1.834829,95.6166,1901.1,49.69
83,3.9800,3.43e-06,0.968241,1.785562,95.6972,1919.8,49.69
84,3.9800,3.43e-06,0.963293,1.823026,95.8380,1903.9,49.69
85,3.9800,3.43e-06,0.964007,1.824584,95.5659,1914.1,49.69
86,4.1600,2.40e-06,0.957570,1.807126,95.6296,1923.2,49.69
87,4.1600,2.40e-06,0.954542,1.811862,95.8090,1898.2,49.69
88,4.1600,2.40e-06,0.952138,1.824357,95.6445,1905.7,49.69
89,4.1600,2.40e-06,0.955215,1.815144,95.7814,1900.2,49.69
90,4.1600,2.40e-06,0.952547,1.814432,95.8668,1898.1,49.69
91,4.4600,2.40e-06,0.946949,1.784421,95.8420,1905.2,49.69
92,4.4600,2.40e-06,0.946153,1.788893,95.6658,1901.8,49.69
93,4.4600,2.40e-06,0.941785,1.828161,95.7479,1903.9,49.69
94,4.4600,2.40e-06,0.944074,1.800033,95.7114,1917.4,49.69
95,4.4600,2.40e-06,0.941476,1.835407,95.7508,1902.8,49.69
96,4.7600,2.40e-06,0.939116,1.765264,95.7796,1900.9,49.69
97,4.7600,1.68e-06,0.933889,1.816903,95.7328,1898.7,49.69
98,4.7600,1.68e-06,0.932425,1.811819,95.7304,1905.8,49.69
99,4.7600,1.68e-06,0.932835,1.815621,95.6581,1901.7,49.69
100,5.0000,1.68e-06,0.927046,1.804326,95.7417,1904.8,49.69
101,5.0000,1.68e-06,0.927221,1.804535,95.7248,1917.4,49.69
102,5.0000,1.68e-06,0.928877,1.805868,95.6695,1902.0,49.69
103,5.0000,1.68e-06,0.925720,1.807591,95.7545,1899.0,49.69
104,5.0000,1.68e-06,0.923698,1.831454,95.7629,1908.2,49.69
105,5.0000,1.68e-06,0.926779,1.817909,95.5946,1903.8,49.69
106,5.0000,1.68e-06,0.923286,1.827596,95.8586,1899.6,49.69
107,5.0000,1.68e-06,0.931775,1.770245,95.7088,1919.4,49.69
108,5.0000,1.18e-06,0.923662,1.829206,95.7690,1924.7,49.69
109,5.0000,1.18e-06,0.919824,1.855281,95.7299,1904.9,49.69
110,5.0000,1.18e-06,0.923315,1.821532,95.7859,1906.1,49.69
111,5.0000,1.18e-06,0.920032,1.854570,95.6539,1899.3,49.69
112,5.0000,1.18e-06,0.919936,1.845959,95.8007,1910.2,49.69
113,5.0000,1.18e-06,0.923372,1.821390,95.8217,1909.2,49.69
